stock_code,description,total_units_sold,total_revenue
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,957,3958.37
22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,1069,3957.13
21537,RED RETROSPOT PUDDING BOWL,948,3953.0
20982,12 PENCILS TALL TUBE SKULLS,4661,3950.93
22053,EMPIRE DESIGN ROSETTE,4519,3950.17
22721,SET OF 3 CAKE TINS SKETCHBOOK,910,3949.72
22736,RIBBON REEL MAKING SNOWMEN ,2402,3946.46
22548,adjustment,3370,3941.85
22760,"TRAY, BREAKFAST IN BED",329,3940.95
72807B,????missing,968,3939.76
23166,MEDIUM CERAMIC TOP STORAGE JAR,3422,3937.09
85132A,damaged,1187,3936.45
23129,HEART SHAPED HOLLY WREATH,941,3929.03
20963,APPLE BATH SPONGE,3193,3923.04
22530,MAGIC DRAWING SLATE DOLLY GIRL ,9776,3917.28
22127,sold in set?,3377,3913.64
21474,SWEETHEART CREAM STEEL FOLDIN BENCH,196,3910.2
22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,4955,3900.41
23340,VINTAGE CHRISTMAS CAKE FRILL,2465,3899.25
21034,REX CASH+CARRY JUMBO SHOPPER,4092,3887.4
22790,"MIRROR, ARCHED GEORGIAN",200,3884.0
22747,POPPY'S PLAYHOUSE BATHROOM,1915,3883.5
22536,MAGIC DRAWING SLATE PURDEY,9970,3881.4
22573,STAR WOODEN CHRISTMAS DECORATION,4666,3878.74
22612,TEA COSY VINTAGE UNION JACK,984,3870.93
23557,LANDMARK FRAME BAKER STREET ,347,3867.85
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,3170,3866.31
22670,FRENCH WC SIGN BLUE METAL,3179,3865.8
79320,FLAMINGO LIGHTS,870,3863.6
22574,HEART WOODEN CHRISTMAS DECORATION,4472,3850.34
46000M,POLYESTER FILLER PAD 45x45cm,3132,3850.2
22474,SPACEBOY TV DINNER TRAY,873,3846.59
23144,ZINC T-LIGHT HOLDER STARS SMALL,4850,3843.46
23163,REGENCY SUGAR TONGS,1659,3835.3
22959,WRAP CHRISTMAS VILLAGE,9388,3834.96
23494,VINTAGE DOILY DELUXE SEWING KIT ,661,3831.95
22600,CHRISTMAS RETROSPOT STAR WOOD,4637,3829.91
22639,SET OF 4 NAPKIN CHARMS HEARTS,1618,3827.22
21901,"KEY FOB , BACK DOOR ",5998,3823.02
23255,CHILDRENS CUTLERY CIRCUS PARADE,954,3819.24
23167,SMALL CERAMIC TOP STORAGE JAR ,5141,3818.99
37447,CERAMIC CAKE DESIGN SPOTTED PLATE,2649,3815.49
22425,ENAMEL COLANDER CREAM,791,3811.26
21153,RED SPOTTY TABLECLOTH ,368,3811.2
22594,CHRISTMAS GINGHAM TREE,4529,3809.87
23306,SET OF 36 PANTRY PAPER DOILIES,2685,3809.79
20674,GREEN POLKADOT BOWL,3128,3788.28
71038,WHITE HANGING BEADS CANDLE HOLDER,716,3783.8
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,1936,3780.24
23050,RECYCLED ACAPULCO MAT GREEN,458,3755.3
22272,Damaged,1366,3752.76
21494,ROTATING LEAVES T-LIGHT HOLDER,2885,3745.28
23012,GLASS APOTHECARY BOTTLE PERFUME,1009,3743.89
21987,PACK OF 6 SKULL PAPER CUPS,6040,3724.4
23193,BUFFALO BILL TREASURE BOOK BOX,1835,3723.57
21470,FLOWER VINE RAFFIA FOOD COVER,1019,3717.18
22782,SET 3 WICKER STORAGE BASKETS ,254,3712.3
23130,MISTLETOE HEART WREATH GREEN,909,3711.07
21810,CHRISTMAS HANGING STAR WITH BELL,6362,3709.6
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,903,3708.19
21472,LADYBIRD + BEE RAFFIA FOOD COVER,1009,3706.95
20981,12 PENCILS TALL TUBE WOODLAND,4449,3706.77
21064,BOOM BOX SPEAKER BOYS,736,3700.5
22723,SET OF 6 HERB TINS SKETCHBOOK,1057,3697.99
84279P,CHERRY BLOSSOM  DECORATIVE FLASK,1021,3697.71
22284,HEN HOUSE DECORATION,2357,3691.65
21714,CITRONELLA CANDLE GARDEN POT,3326,3686.02
23184,BULL DOG BOTTLE OPENER,765,3685.15
22359,GLASS JAR KINGS CHOICE,1203,3684.97
23309,SET OF 60 I LOVE LONDON CAKE CASES ,7639,3680.65
23486,ANTIQUE HEART SHELF UNIT,254,3679.5
21743,STAR PORTABLE TABLE LIGHT ,1325,3678.35
85049C,ROMANTIC PINKS RIBBONS ,2957,3667.82
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,1798,3662.42
21913,VINTAGE SEASIDE JIGSAW PUZZLES,1007,3661.27
51014A,"FEATHER PEN,HOT PINK",5925,3661.13
22823,CHEST NATURAL WOOD 20 DRAWERS,32,3655.0
85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,2377,3650.85
47580,TEA TIME DES TEA COSY,1529,3641.71
22544,MINI JIGSAW SPACEBOY,9273,3638.84
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,1061,3638.55
84968E,SET OF 16 VINTAGE BLACK CUTLERY,311,3631.86
21911,GARDEN METAL SIGN ,2381,3621.45
21795,SET OF 3 BLUE STRIPE BASKET,435,3620.22
22458,Missing,1501,3614.91
23131,MISTLETOE HEART WREATH CREAM,888,3611.88
23351,ROLL WRAP 50'S CHRISTMAS,2974,3609.14
22704,WRAP RED APPLES ,8775,3605.5
23194,GYMKHANA TREASURE BOOK BOX,1717,3605.42
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",4418,3603.5
22167, OVAL WALL MIRROR DIAMANTE ,504,3602.05
85053,FRENCH ENAMEL CANDLEHOLDER,1813,3601.73
22788,BROCANTE COAT RACK,457,3595.85
22398,MAGNETS PACK OF 4 SWALLOWS,4188,3575.59
23081,GREEN METAL BOX ARMY SUPPLIES,448,3565.14
84558A,3D DOG PICTURE PLAYING CARDS,1245,3557.55
23032,DRAWER KNOB CRACKLE GLAZE IVORY,2218,3554.1
22118,JOY WOODEN BLOCK LETTERS,783,3551.43
22292,HANGING CHICK  YELLOW DECORATION,2652,3550.2
23049,RECYCLED ACAPULCO MAT RED,432,3548.0
22843,BISCUIT TIN VINTAGE GREEN,566,3545.28
70006,LOVE HEART POCKET WARMER,4210,3539.26
22980,PANTRY SCRUBBING BRUSH,2208,3537.84
23299,FOOD COVER WITH BEADS SET 2 ,975,3537.67
22497,SET OF 2 TINS VINTAGE BATHROOM ,843,3532.75
72802B,check,1104,3516.88
23191,BUNDLE OF 3 RETRO NOTE BOOKS,2173,3515.45
22445,PENCIL CASE LIFE IS BEAUTIFUL,1207,3514.85
84968B,SET OF 16 VINTAGE IVORY CUTLERY,283,3509.25
23092,LARGE ANTIQUE WHITE PHOTO FRAME,499,3506.31
23497,CLASSIC CHROME BICYCLE BELL ,2502,3495.7
22777,GLASS CLOCHE LARGE,441,3493.5
21992,check,2082,3472.14
23089,GLASS BON BON JAR,2121,3471.57
85206A,CREAM FELT EASTER EGG BASKET,2169,3470.85
22334,DINOSAUR PARTY BAG + STICKER SET,2195,3458.59
23232,WRAP VINTAGE LEAF DESIGN,8575,3457.5
22765,NEWSPAPER STAND,324,3452.72
23349,ROLL WRAP VINTAGE CHRISTMAS,2845,3447.89
22744,MAKE YOUR OWN MONSOON CARD KIT,1371,3447.53
23127,FELTCRAFT GIRL NICOLE KIT,701,3446.99
85063,CREAM SWEETHEART MAGAZINE RACK,212,3445.4
23091,ZINC HERB GARDEN CONTAINER,563,3444.5
20692,FLORAL ELEPHANT SOFT TOY,881,3442.75
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,8551,3434.95
22227,HANGING HEART MIRROR DECORATION ,5299,3434.15
22962,JAM JAR WITH PINK LID,4309,3430.34
20748,KENSINGTON COFFEE SET,363,3422.25
84598,BOYS ALPHABET IRON ON PATCHES,17665,3421.65
22341,LOVE GARLAND PAINTED ZINC ,2149,3415.85
22314,OFFICE MUG WARMER CHOC+BLUE,1054,3411.84
22731,3D CHRISTMAS STAMPS STICKERS ,2761,3410.93
22797,CHEST OF DRAWERS GINGHAM HEART ,203,3401.19
23542,WALL ART 70'S ALPHABET ,478,3393.98
22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,1329,3393.51
22057,CERAMIC PLATE STRAWBERRY DESIGN,2842,3393.46
72807A,AMAZON,832,3392.56
23110,PARISIENNE KEY CABINET ,613,3391.95
20665,RED RETROSPOT PURSE ,1155,3390.45
21717,EASTER TIN BUCKET,1407,3361.05
23085,ANTIQUE SILVER BAUBLE LAMP  ,361,3360.95
23294,SET OF 6 SNACK LOAF BAKING CASES,4279,3349.39
22478,BIRDHOUSE GARDEN MARKER ,2544,3345.6
22202,MILK PAN PINK POLKADOT,936,3340.35
23552,BICYCLE PUNCTURE REPAIR KIT ,1731,3338.8
23571,TRADITIONAL NAUGHTS & CROSSES,2036,3330.6
20966,SANDWICH BATH SPONGE,2689,3323.25
23189,SET OF 12 FORK CANDLES,1214,3316.46
21556,CERAMIC STRAWBERRY MONEY BOX,1383,3314.25
22807,SET OF 6 T-LIGHTS TOADSTOOLS,1213,3313.59
22822,CREAM WALL PLANTER HEART SHAPED,586,3312.21
84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,5514,3309.72
84580,MOUSE TOY WITH PINK T-SHIRT,879,3300.05
22312,OFFICE MUG WARMER POLKADOT,1034,3299.84
22589,CARDHOLDER GINGHAM STAR,1262,3291.74
22603,CHRISTMAS RETROSPOT TREE WOOD,4001,3283.85
23332,IVORY WICKER HEART LARGE,1994,3280.5
22320,BIRDS MOBILE VINTAGE DESIGN,559,3277.41
21067,VINTAGE RED TEATIME MUG,4489,3272.96
22047,EMPIRE GIFT WRAP,8025,3272.5
21902,"KEY FOB , FRONT  DOOR ",5264,3269.94
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",177,3268.77
22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,6693,3267.41
22778,GLASS CLOCHE SMALL,894,3266.36
22440,BALLOON WATER BOMB PACK OF 35,8395,3266.1
23009,I LOVE LONDON BABY GIFT SET,209,3262.55
23156,SET OF 5 MINI GROCERY MAGNETS,1614,3261.86
21507,ELEPHANT BIRTHDAY CARD ,8042,3260.16
84352,SILVER CHRISTMAS TREE BAUBLE STAND ,200,3258.0
47505,MINATURE COLOURED GARDENING SET,699,3254.55
23536,WALL ART VILLAGE SHOW ,609,3250.23
21917,SET 12 KIDS  WHITE CHALK STICKS,7934,3244.02
22176,amazon,1129,3230.55
22125,UNION JACK HOT WATER BOTTLE ,550,3229.5
85220,SMALL FAIRY CAKE FRIDGE MAGNETS,9723,3229.35
21039,RED RETROSPOT SHOPPING BAG,1271,3222.51
20702,PINK PADDED MOBILE,768,3220.5
23168,CLASSIC CAFE SUGAR DISPENSER,2796,3220.06
21732,RED HANGING METAL STAR TLIGHT HLDR,928,3218.64
35924,HANGING FAIRY CAKE DECORATION,1803,3217.22
22902,TOTE BAG I LOVE LONDON,1665,3207.04
23112,PARISIENNE CURIO CABINET,439,3204.95
21211,SET OF 72 SKULL PAPER  DOILIES,2326,3199.9
22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,7851,3199.5
22459,CAST IRON HOOK GARDEN TROWEL,1356,3195.56
21993,FLORAL FOLK STATIONERY SET,2055,3193.4
21054,NURSE'S BAG SOFT TOY,359,3193.05
23013,GLASS APOTHECARY BOTTLE TONIC,860,3191.34
23230,WRAP ALPHABET DESIGN,7900,3186.0
21123,SET/10 IVORY POLKADOT PARTY CANDLES,2558,3185.44
23111,PARISIENNE SEWING BOX,272,3181.6
23426,METAL SIGN DROP YOUR PANTS,1226,3175.22
22939,ADULT APRON APPLE DELIGHT,661,3172.83
21679,SKULLS  STICKERS,3871,3171.79
23388,WOODLAND MINI BACKPACK,793,3170.95
21349,check,488,3166.0
22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1139,3165.65
20886,BOX OF 9 PEBBLE CANDLES,1688,3165.3
22591,CARDHOLDER GINGHAM CHRISTMAS TREE,1164,3162.54
23210,WHITE ROCKING HORSE HAND PAINTED,2603,3157.99
21794,adjustment,665,3154.27
23350,ROLL WRAP VINTAGE SPOT ,2581,3150.65
22494,EMERGENCY FIRST AID TIN ,2539,3145.65
21351,CINAMMON & ORANGE WREATH,994,3135.1
20992,JAZZ HEARTS PURSE NOTEBOOK,6098,3126.5
84356,POMPOM CURTAIN,655,3120.25
21845,DAIRY MAID STRIPE MUG,2374,3118.9
21469,POLKA DOT RAFFIA FOOD COVER,1049,3110.66
22700,BLACK AND WHITE DOG BOWL,1364,3109.52
22863,SOAP DISH BROCANTE,1104,3103.2
23065,LARGE DECO JEWELLERY STAND,256,3102.8
22702,BLACK AND WHITE CAT BOWL,1575,3102.25
22095,LADS ONLY TISSUE BOX,3099,3099.48
23308,SET OF 60 VINTAGE LEAF CAKE CASES ,5967,3098.21
85040A,S/4 PINK FLOWER CANDLES IN BOWL,1885,3098.09
21466,RED FLOWER CROCHET FOOD COVER,833,3095.39
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,2623,3093.9
21179,damaged,4062,3078.28
23239,SET OF 4 KNICK KNACK TINS POPPIES,795,3072.25
21364,PEACE SMALL WOOD LETTERS,445,3072.15
22076,6 RIBBONS EMPIRE  ,2135,3068.37
84975,HEART SHAPED MIRROR,1939,3068.11
23353,6 GIFT TAGS VINTAGE CHRISTMAS ,3723,3066.33
22862,LOVE HEART NAPKIN BOX ,725,3065.25
22475,SKULL DESIGN TV DINNER TRAY,692,3062.8
23342,MINT DINER WALL CLOCK,366,3060.0
23253,16 PIECE CUTLERY SET PANTRY DESIGN,212,3050.2
22122,SET OF 2 FANCY FONT TEA TOWELS,1055,3048.25
22154,ANGEL DECORATION 3 BUTTONS ,7413,3044.34
22972,CHILDREN'S SPACEBOY MUG,1866,3039.86
85232D,SET/3 DECOUPAGE STACKING TINS,640,3033.6
21246,damaged,616,3015.6
21864,UNION JACK FLAG PASSPORT COVER ,1529,3014.1
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25679,3012.07
22477,WATERING CAN GARDEN MARKER,2267,2997.45
22136,LOVE HEART SOCK HANGER,1885,2995.45
21830,ASSORTED CREEPY CRAWLIES,7148,2994.13
23231,WRAP  VINTAGE DOILY ,7225,2986.5
21333,CLASSIC WHITE FRAME,1019,2982.05
21055,TOOL BOX SOFT TOY ,326,2979.14
22406,MONEY BOX KINGS CHOICE DESIGN,2401,2975.87
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,3407,2971.48
23346,SPACEBOY BEAKER,2565,2968.25
84849B,FAIRY SOAP SOAP HOLDER,1839,2966.79
23323,WHITE WICKER STAR ,1423,2956.8
22428,ENAMEL FIRE BUCKET CREAM,426,2945.68
37501,TEA TIME TEA SET IN GIFT BOX,427,2943.65
84837,WHITE SWEETHEARTS CABINET 4 DRAWERS,241,2940.75
22347,PIZZA SLICE DISH,2641,2936.45
23461,SWEETHEART BIRD HOUSE,835,2933.45
23035,DRAWER KNOB CERAMIC IVORY,2080,2928.64
23014,GLASS APOTHECARY BOTTLE ELIXIR,791,2924.13
21829,adjustment,14107,2922.18
21812,GARLAND WITH HEARTS AND BELLS,597,2913.15
21648,ASSORTED TUTTI FRUTTI SMALL PURSE,2390,2909.98
21467,CHERRY CROCHET FOOD COVER,952,2909.02
21447,12 IVORY ROSE PEG PLACE SETTINGS,2398,2908.58
22194,BLACK DINER WALL CLOCK,351,2901.05
21519,GIN & TONIC DIET GREETING CARD ,7089,2898.9
82578,KITCHEN METAL SIGN,5423,2896.95
21473,SWEETHEART CREAM STEEL TABLE RECT,145,2892.75
22794,SWEETHEART WIRE MAGAZINE RACK,367,2891.25
85049D,BRIGHT BLUES RIBBONS ,2331,2886.39
23390,DOLLY GIRL MINI BACKPACK,724,2884.6
21100,Damaged,2228,2875.6
21705,BAG 500g SWIRLY MARBLES,2394,2873.06
21354,TOAST ITS - BEST MUM,2458,2866.1
22963,JAM JAR WITH GREEN LID,3606,2863.73
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,1296,2859.6
18098C,PORCELAIN BUTTERFLY OIL BURNER,1132,2859.4
22037,ROBOT BIRTHDAY CARD,6871,2856.4
21990,MODERN FLORAL STATIONERY SET,1792,2846.2
21192,WHITE BELL HONEYCOMB PAPER ,1841,2845.25
23242,TREASURE TIN BUFFALO BILL ,1409,2842.4
15039,SANDALWOOD FAN,4136,2840.4
22955,36 FOIL STAR CAKE CASES ,1589,2826.14
23182,TOILET SIGN OCCUPIED OR VACANT,3400,2825.95
21206,STRAWBERRY HONEYCOMB  GARLAND ,2061,2824.65
84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,661,2823.49
22712,CARD DOLLY GIRL ,7116,2822.67
85114B,IVORY ENCHANTED FOREST PLACEMAT,1791,2819.15
23329,DECORATIVE WICKER HEART LARGE,1709,2807.85
22172,METAL SHELF WITH RAIL ,335,2805.0
23393,HOME SWEET HOME CUSHION COVER ,748,2805.0
22480,RED TEA TOWEL CLASSIC DESIGN,2327,2799.31
22309,TEA COSY RED  STRIPE,1185,2792.28
22925,AMAZON,473,2791.37
84828,JUNGLE POPSICLES ICE LOLLY MOULDS,2268,2789.31
84909A,PINK PAISLEY QUILT ,208,2784.8
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,4355,2783.17
21328,BALLOONS  WRITING SET ,1686,2780.5
47504K,ENGLISH ROSE GARDEN SECATEURS,2576,2774.6
21796,SET OF 3 RED STRIPE BASKETS,323,2769.44
84279B,CHERRY BLOSSOM DECORATIVE FLASK,763,2767.65
22067,CHOC TRUFFLE GOLD TRINKET POT ,1793,2764.13
22710,WRAP I LOVE LONDON ,7029,2756.18
21820,GLITTER HEART GARLAND WITH BELLS ,748,2754.71
23345, DOLLY GIRL BEAKER,2391,2750.75
22674,FRENCH TOILET SIGN BLUE METAL,2274,2750.23
21682,LARGE MEDINA STAMPED METAL BOWL ,564,2746.41
23290,SPACEBOY CHILDRENS BOWL,2357,2744.65
22450,SILK PURSE BABUSHKA BLUE,827,2744.05
22949,SET OF 36 DOLLY GIRL PAPER DOILIES,1968,2738.4
23051,RECYCLED ACAPULCO MAT BLUE,333,2724.85
21272,SALLE DE BAIN HOOK,2195,2723.11
22452,MEASURING TAPE BABUSHKA PINK,964,2721.6
84813,SET OF 4 DIAMOND NAPKIN RINGS,378,2718.52
22107,PIZZA PLATE IN BOX,771,2717.84
22757,LARGE RED BABUSHKA NOTEBOOK ,2541,2714.98
23354,6 GIFT TAGS 50'S CHRISTMAS ,3298,2713.58
22769,CHALKBOARD KITCHEN ORGANISER,143,2710.85
21949,SET OF 6 STRAWBERRY CHOPSTICKS,2365,2710.29
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,1339,2709.02
22572,ROCKING HORSE GREEN CHRISTMAS ,3301,2706.01
21477,STRING OF 20 ROSE LIGHTS,239,2705.25
22416,SET OF 36 SPACEBOY PAPER DOILIES,1939,2696.35
22696,WICKER WREATH LARGE,1421,2696.21
22482,BLUE TEA TOWEL CLASSIC DESIGN,2286,2693.34
23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,1676,2687.84
22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,2204,2683.96
84510A,SET OF 4 ENGLISH ROSE COASTERS,2175,2681.79
21683,MEDIUM MEDINA STAMPED METAL BOWL ,934,2678.5
21626,VINTAGE UNION JACK PENNANT,1371,2673.45
22162,HEART GARLAND RUSTIC PADDED,927,2671.15
21728,METAL MEDINA LANTERN ,294,2670.6
22436,12 COLOURED PARTY BALLOONS,4201,2666.45
22473,TV DINNER TRAY VINTAGE PAISLEY,749,2664.59
90057,DIAMANTE RING ASSORTED IN BOX.,1800,2660.88
22066,LOVE HEART TRINKET POT,3418,2660.38
22983,CARD BILLBOARD FONT,6471,2660.31
21818,GLITTER HEART DECORATION,4342,2658.96
22754,SMALL RED BABUSHKA NOTEBOOK ,3698,2658.76
22755,SMALL PURPLE BABUSHKA NOTEBOOK ,3577,2653.5
23147,SINGLE ANTIQUE ROSE HOOK IVORY,1830,2651.1
21329,DINOSAURS  WRITING SET ,1624,2650.84
21688,mixed up,898,2649.1
22671,FRENCH LAUNDRY SIGN BLUE METAL,1645,2644.21
22897,OVEN MITT APPLES DESIGN,1859,2644.11
21360,Show Samples,434,2641.3
21508,VINTAGE KID DOLLY CARD ,6544,2640.37
85227,SET OF 6 3D KIT CARDS FOR KIDS,3185,2640.23
22461,SAVOY ART DECO CLOCK,336,2639.6
22974,CHILDRENS DOLLY GIRL MUG,1633,2639.49
22576,SWALLOW WOODEN CHRISTMAS DECORATION,3115,2635.27
84596F,SMALL MARSHMALLOWS PINK BOWL,4177,2628.87
21786,POLKADOT RAIN HAT ,7222,2626.93
23427,STOOL HOME SWEET HOME ,226,2625.5
22145,CHRISTMAS CRAFT HEART STOCKING ,1288,2624.8
21765,HANGING METAL BIRD BATH,339,2618.7
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,644,2617.21
22816,CARD MOTORBIKE SANTA,6368,2610.48
21693,mixed up,885,2608.35
23211,RED ROCKING HORSE HAND PAINTED,2184,2604.0
22803,IVORY EMBROIDERED QUILT ,70,2603.3
85049B,Amazon,2102,2597.86
22415,WHITE TISSUE REAM,326,2591.7
21897,POTTING SHED CANDLE CITRONELLA,858,2591.22
22293,HANGING CHICK GREEN DECORATION,1911,2590.95
23053,RECYCLED ACAPULCO MAT PINK,318,2589.9
79164,BLACK WINE GLASS,3636,2589.0
22046,TEA PARTY  WRAPPING PAPER ,6316,2588.72
23395,BELLE JARDINIERE CUSHION COVER,689,2578.23
21214,SET OF 72 IVORY PAPER DOILIES,1884,2578.2
22905,CALENDAR IN SEASON DESIGN,947,2577.04
21742,LARGE ROUND WICKER PLATTER ,433,2576.35
23164,REGENCY CAKE SLICE,563,2574.26
85132B,CHARLIE AND LOLA TABLE TINS,893,2573.35
85049F,BABY BOOM RIBBONS ,2079,2571.39
22675,FRENCH KITCHEN SIGN BLUE METAL,2121,2568.66
23100,SILVER BELLS TABLE DECORATION,2092,2564.6
47480,HANGING PHOTO CLIP ROPE LADDER,1640,2561.08
22519,CHILDS GARDEN BRUSH PINK,1320,2554.98
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,527,2554.13
22944,CHRISTMAS METAL POSTCARD WITH BELLS,3925,2553.07
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,2130,2550.93
22518,CHILDS GARDEN BRUSH BLUE,1320,2548.98
22914,BLUE COAT RACK PARIS FASHION,552,2543.04
21589,SWALLOW GIANT TUBE MATCHES,1103,2542.65
22208,WOOD STAMP SET THANK YOU,2086,2537.39
22152,PLACE SETTING WHITE STAR,6228,2534.69
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",1222,2532.9
21327,SKULLS WRITING SET ,1535,2530.35
23266,SET OF 3 WOODEN STOCKING DECORATION,1963,2528.39
21788,KIDS RAIN MAC BLUE,3169,2521.83
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,1711,2519.75
22937,BAKING MOULD CHOCOLATE CUPCAKES,978,2519.54
22132,RED LOVE HEART SHAPE CUP,3038,2516.78
22792,FLUTED ANTIQUE CANDLE HOLDER,3060,2513.9
22930,BAKING MOULD HEART MILK CHOCOLATE,1036,2513.72
23489,VINTAGE BELLS GARLAND,876,2512.44
23333,IVORY WICKER HEART MEDIUM,2018,2509.9
84519A,TOMATO CHARLIE+LOLA COASTER SET,1146,2509.54
23212,HEART WREATH DECORATION WITH BELL,2119,2507.63
85035C,ROSE 3 WICK MORRIS BOX CANDLE,1321,2506.57
20985,HEART CALCULATOR,2110,2505.85
21486,PINK HEART DOTS HOT WATER BOTTLE,850,2500.62
22028,PENNY FARTHING BIRTHDAY CARD,6119,2489.41
21923,RED/CREAM STRIPE FRINGE HAMMOCK,325,2483.75
21171,BATHROOM METAL SIGN ,1824,2481.6
21422,PORCELAIN ROSE SMALL,3095,2481.51
22927,GREEN GIANT GARDEN THERMOMETER,428,2474.6
22479,DAISY GARDEN MARKER,1847,2472.45
21224,SET/4 SKULL BADGES,1984,2472.4
84849D,HOT BATHS SOAP HOLDER,1510,2471.26
22664,TOY TIDY DOLLY GIRL DESIGN,1300,2465.98
23196,VINTAGE LEAF MAGNETIC NOTEPAD,1747,2465.95
23292,SPACEBOY CHILDRENS CUP,2061,2461.37
21465,PINK FLOWER CROCHET FOOD COVER,696,2460.11
22155,STAR DECORATION RUSTIC,5812,2441.04
22439,6 ROCKET BALLOONS ,3712,2440.4
22828,REGENCY MIRROR WITH SHUTTERS,16,2440.0
22650,CERAMIC PIRATE CHEST MONEY BANK,1714,2439.7
23681,LUNCH BAG RED VINTAGE DOILY,1548,2434.2
15044C,PURPLE PAPER PARASOL,861,2426.35
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,1663,2419.85
84509F,SET OF 4 NEW ENGLAND PLACEMATS,2776,2418.0
22500,SET OF 2 TINS JARDIN DE PROVENCE,562,2417.3
21821,GLITTER STAR GARLAND WITH BELLS ,653,2416.35
22419,LIPSTICK PEN RED,5758,2400.06
84944,SET OF 6 KASHMIR FOLKART BAUBLES,854,2399.7
20668,DISCO BALL CHRISTMAS DECORATION,21493,2399.44
23264,SET OF 3 WOODEN SLEIGH DECORATIONS,1844,2399.2
22651,GENTLEMAN SHIRT REPAIR KIT ,2973,2399.13
22986,WRAP GINGHAM ROSE ,5816,2398.72
22315,200 RED + WHITE BENDY STRAWS,1988,2398.36
21191,LARGE WHITE HONEYCOMB PAPER BELL  ,1244,2395.1
22818,CARD CHRISTMAS VILLAGE,5754,2395.08
21653,GLASS ETCHED T-LIGHT HOLDER LARGE,1201,2393.1
23407,SET OF 2 TRAYS HOME SWEET HOME,246,2386.92
22540,MINI JIGSAW CIRCUS PARADE ,6180,2386.2
22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1942,2384.18
85041,SET/4 PINK ORCHID CANDLES IN BOWL,1809,2382.93
82597,BOMBS AWAY METAL SIGN,1176,2381.45
22762,CUPBOARD 3 DRAWER MA CAMPAGNE,166,2380.5
15058A,BLUE POLKADOT GARDEN PARASOL,402,2378.3
21188,3D HEARTS  HONEYCOMB PAPER GARLAND,821,2373.95
23146,TRIPLE HOOK ANTIQUE IVORY ROSE,731,2371.79
20752,BLUE POLKADOT WASHING UP GLOVES,1342,2368.2
22081,RIBBON REEL FLORA + FAUNA ,1427,2365.67
22177,5 HOOK BLACKBOARD ORGANISER ,276,2362.59
85036A,GARDENIA 1 WICK MORRIS BOXED CANDLE,622,2362.42
22313,OFFICE MUG WARMER PINK,737,2361.29
22789,T-LIGHT HOLDER SWEETHEART HANGING,1236,2360.34
35001W,HAND OPEN SHAPE DECO.WHITE,819,2359.41
21792,CLASSIC FRENCH STYLE BASKET GREEN ,476,2357.4
21898,POTTING SHED ROSE CANDLE,762,2355.78
22495,SET OF 2 ROUND TINS CAMEMBERT ,887,2345.93
21813,GARLAND WITH STARS AND BELLS,484,2345.4
22891,TEA FOR ONE POLKADOT,544,2340.76
22581,WOOD STOCKING CHRISTMAS SCANDISPOT,3060,2334.98
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,1322,2332.5
84754,S/15 SILVER GLASS BAUBLES IN BAG,1931,2331.67
22310,IVORY KNITTED MUG COSY ,1507,2329.19
22811,SET OF 6 T-LIGHTS CACTI ,896,2325.68
23341,PINK DINER WALL CLOCK,282,2325.6
21784,SHOE SHINE BOX ,236,2325.0
21324,HANGING MEDINA LANTERN SMALL,900,2317.8
37502,TEA TIME MUG IN GIFT BOX,809,2309.75
21948,SET OF 6 CAKE CHOPSTICKS,1999,2309.56
85206B,PINK FELT EASTER EGG BASKET,1477,2308.25
